review_id,image_id,building_id,selection_role,advisory_only,viewed_assets,scene,scope_hint,reference,hohonet,bi,question,tags,priority
R50-001,7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,max_disagreement,True,previews/R50-001_original.jpg | previews/R50-001_comparison.jpg,洗衣凹间与入口连通，前景成对墙端/折叠门框和柜体遮挡明显；局部收边不能直接等同围护墙。,需核对当前空间闭合,GT在左侧墙端保留凹凸，右侧门框附近较简化；是否漏掉真实墙厚待核。,整体接近GT，右侧狭窄墙端未明显分出。,两头都在右侧门框增加窄折返/角点，顶底位置与GT有明显差异；须判断墙厚还是门框装饰。,门框两侧哪一对结构边界用于闭合；窄折返是否属于当前空间外包络？,opening | local_structure | model_structure_difference,高
R50-002,7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,7y3sRwLe3Va,seeded_coverage,True,previews/R50-002_original.jpg | previews/R50-002_comparison.jpg,过道连接衣帽间与正前方门洞；门扇、架子及墙端遮挡外包络。,需核对当前空间闭合,GT包含衣帽间侧窄折返，范围选择需由门框规则确认。,衣帽间入口侧的窄折返较简化，天花/地面位置与GT不同。,两头近似，右侧墙端均有多角点；架子边缘不应自动当作墙。,当前站位属于哪一空间，衣帽间开口闭合位置以及窄墙段是否需要保留？,opening | occlusion | local_structure,高
R50-003,B6ByNegPMKs_0e5ba44387774783903fea2a1b8f53dd,B6ByNegPMKs,max_disagreement,True,previews/R50-003_original.jpg | previews/R50-003_comparison.jpg,玻璃办公室之间的长走廊，圆柱与顶棚设备局部遮挡；左右远端闭合位置需要明确。,需核对闭合及柱体处理,GT按走廊主围护简化中央柱体；是否符合忽略局部非正交物体规则待核。,中央柱缘附近多出窄竖向折点，可能把局部柱体并入墙包络。,两头主要差在远端截断及顶边位置；不能直接称为两种合理真值。,柱体属于局部障碍还是主要围护；走廊左右端应在何处闭合？,corridor | glass | column | ceiling_detail,高
R50-004,B6ByNegPMKs_59cbdf96b19c4cc4a576e6658c5f67d6,B6ByNegPMKs,seeded_coverage,True,previews/R50-004_original.jpg | previews/R50-004_comparison.jpg,长玻璃走廊，两端延伸很远，近景门洞与玻璃边框可辨。,需核对走廊闭合,GT的左右远端位置与模型不一致；需检查是否到达了可重复定义的结构分界。,远端截断更近，天花边缘与GT存在系统偏移。,enclosed与extended远端深度差别明显，玻璃主墙大体一致。,左右远端何处存在明确结构界线；若不存在，是否足以形成当前空间完整闭合？,corridor | glass | closure_depth,高
R50-005,B6ByNegPMKs_8d4e583714dd484d8e1e9bfb38ef2250,B6ByNegPMKs,seeded_coverage,True,previews/R50-005_original.jpg | previews/R50-005_comparison.jpg,小型办公室，中央玻璃隔墙、门洞、桌椅和外窗；围护主方向相对清晰，顶棚管线需与主平面区分。,可能适用，仍待人工,可见主要围护和开口位置与投影边界大体相符，遮挡区域仍不可确认。,与GT接近，主要是顶边及角点轻微偏移。,两头近似且接近GT/HoHoNet；未见清晰的双结构解释。,确认顶棚主平面与玻璃门口闭合，不把管线和家具纳入外包络。,glass | occlusion | low_model_difference,低
R50-006,B6ByNegPMKs_bb2332e3d7ad40a59ee5ad0eae108dec,B6ByNegPMKs,seeded_coverage,True,previews/R50-006_original.jpg | previews/R50-006_comparison.jpg,服务走廊，红门端、玻璃端可见，顶面有梁与大量管线，左侧柱体与墙相邻。,需核对走廊闭合和主顶面,主围护大体吻合，右端闭合及梁下/板下选择待核。,左侧柱缘附近额外竖线；主要外包络与GT近似。,两头近似，远端高度和顶边有小幅偏移。,左侧柱体是否并入包络，右端玻璃处闭合是否符合当前空间规则？,corridor | column | ceiling_detail,中
R50-007,B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386,B6ByNegPMKs,max_disagreement,True,previews/R50-007_original.jpg | previews/R50-007_comparison.jpg,相机靠近办公室门框，左侧小房间与右侧长玻璃走廊同时可见，前景窄墙端非常近。,优先核对当前空间边界,同时包含房间和远走廊；是否超出应闭合的门口范围须先确认。,右半部边界伸至图像上下极端并在门扇/墙端出现复杂折返，与可见结构明显不协调。,两头比HoHoNet接近可见墙端，但走廊两端截断不同；GT和Bi接近不代表闭合规则已满足。,门框位置如何界定当前空间；是否应排除相邻办公室或走廊？,opening | closure_depth | model_structure_difference,高
R50-008,UwV83HsGsw3_28e58f32d4274b62ac6d2b239e9e8516,UwV83HsGsw3,seeded_coverage,True,previews/R50-008_original.jpg | previews/R50-008_comparison.jpg,衣帽间围护较清楚，挂架遮挡墙脚，右侧门洞通向浴室。,可能适用，仍待人工,简化架子、在浴室入口侧保持当前房间包络，视觉上大体一致。,与GT接近，地面边缘略有偏移。,两头近似且接近其余边界，未见明显结构分歧。,确认挂架后墙脚与浴室门口闭合位置。,occlusion | opening | low_model_difference,低
R50-009,UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623,UwV83HsGsw3,seeded_coverage,True,previews/R50-009_original.jpg | previews/R50-009_comparison.jpg,衣帽间内窄隔板、挂架与打开的门扇并存，局部结构和可移动物体容易混淆。,需核对隔板及门扇处理,保留左侧窄隔板折返，中央打开门扇处较简化。,中央打开门扇附近增加窄折返，疑似将门扇作为围护。,两头近似，左侧隔板被合并，中央门扇附近均形成凸出包络。,确认哪些窄隔板属于主围护；打开门扇不能仅凭边缘充当墙。,occlusion | door_leaf | local_structure,高
R50-010,UwV83HsGsw3_a7ae0b7c2c574b4a843af1be0c808f77,UwV83HsGsw3,max_disagreement,True,previews/R50-010_original.jpg | previews/R50-010_comparison.jpg,卧室右半幅为大面积镜面衣柜，反射床、门口与相机，不是额外房间。,可能适用，镜面需明确排除,围护沿镜面所在边界闭合，和可见房间大体协调。,与GT结构接近，主要为位置偏移。,enclosed接近GT；extended在镜面中部新增明显窄折返，疑似把反射/镜框纳入几何。,核实镜面实际平面，extended多出的角点是否有真实结构依据？,mirror | model_structure_difference,高
