key,source,Range,Detail,Position,Note,defer,code,image_id,building,condition,id_a,id_b,worker_a,worker_b,n_a,n_b,same_count,ospa1,ospa2,cardinality_floor,hausdorff,directed_a,directed_b,nn_mean,sum_assignment_max,bottleneck,uncovered_a_3,uncovered_b_3,matched_3,one_to_one_unmatched_3,uncovered_a_6,uncovered_b_6,matched_6,one_to_one_unmatched_6,uncovered_a_9,uncovered_b_9,matched_9,one_to_one_unmatched_9,uncovered_a_12,uncovered_b_12,matched_12,one_to_one_unmatched_12,previous_interpretation,similarity_explicit,different_coverage_reported,detail_difference_reported,whole_image_split_explicit,cluster_count_only,cluster_OSPA1_3,cluster_OSPA1_6,cluster_OSPA1_9,cluster_OSPA2_3,cluster_OSPA2_6,cluster_OSPA2_9,cluster_OSPA2_12,cluster_Hausdorff_3,cluster_Hausdorff_6,cluster_Hausdorff_9,cluster_Hausdorff_12,cluster_OSPA1_6_AND_H6,cluster_OSPA1_6_AND_H9,cluster_OSPA1_6_AND_H12,cluster_Bottleneck_equal_6,cluster_Bottleneck_equal_9,cluster_Bottleneck_equal_12
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df|semi|62376c3351699bc6|c9609d6092bb0730,user12,相近,相近,接近,"簇1和簇2确实有明显区别,但是1,3,4 的区别不太大",False,b8cTxDM8gDG-07,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,62376c3351699bc6,c9609d6092bb0730,W010,W014,12,12,True,0.4303155293892272,0.8746711254170129,0.0,2.0479322295152325,2.0479322295152325,2.0479322295152325,0.4303155293892272,2.0479322295152325,2.0479322295152325,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,similar_with_tolerance,True,False,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual|c37f510f32a97089|352bcc94c85fa24a,user12,不能判断,有增减或不同表达,有需单独记录的差异,"点数都不同了,这图确实不好看",False,b8cTxDM8gDG-04,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,manual,c37f510f32a97089,352bcc94c85fa24a,W013,W017,12,10,False,7.37180133637531,12.992624608158142,5.0,48.81217907372679,48.81217907372679,14.159274733159366,5.985375230695315,14.159274733159366,,3,1,9,4,3,1,9,4,3,1,9,4,3,1,9,4,different_expression_or_cover,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab|manual|27582294b1e86c6a|1e1b64ea1dae6b40,user12,不同,有增减或不同表达,有需单独记录的差异,"这明显漏了中间的,同时这两位都漏了被挡起来的墙角",False,e9zR4mvMWw7-19,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,manual,27582294b1e86c6a,1e1b64ea1dae6b40,W030,W035,10,8,False,7.233670978137366,13.517636956923146,6.0,47.01808401785401,47.01808401785401,3.590258708125667,5.649683423500522,3.590258708125667,,3,1,7,4,2,0,8,2,2,0,8,2,2,0,8,2,different_expression_or_cover,False,True,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494|manual|fd2b9ddb998c002ab336|e340e9ff963b2aad6120,user12,不能判断,,,这图oos,False,pRbA3pwrgk9-11,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,fd2b9ddb998c002ab336,e340e9ff963b2aad6120,W011,W035,18,8,False,17.31794521874163,22.393739484655285,16.666666666666668,64.61373495039501,64.61373495039501,3.864010176617703,13.759022483727678,3.864010176617703,,11,1,7,12,10,0,8,10,10,0,8,10,10,0,8,10,unresolved,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual|063a5ec4d91eccc8b4c3|511d41c2a1ae8135d56a,user12,不同,有增减或不同表达,有需单独记录的差异,31漏了浴缸区域的墙角,False,uNb9QFRL6hY-50,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,manual,063a5ec4d91eccc8b4c3,511d41c2a1ae8135d56a,W031,W033,10,12,False,6.523184504483706,12.401182359391775,5.0,30.69551857401028,3.862062004875804,30.69551857401028,4.210318758298406,3.862062004875804,,2,4,8,6,0,2,10,2,0,2,10,2,0,2,10,2,different_expression_or_cover,False,True,True,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual|1849bc7fd397907c0fdc|266064e3bd9d27c4efda,user12,不同,有增减或不同表达,有需单独记录的差异,这个确实闭合区域不同了,False,uNb9QFRL6hY-60,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,manual,1849bc7fd397907c0fdc,266064e3bd9d27c4efda,W002,W027,20,16,False,9.569596222688045,15.27857886721144,6.0,49.33456865450295,49.33456865450295,22.906955356560243,8.42515101499405,22.906955356560243,,7,3,13,10,6,2,14,8,6,2,14,8,6,2,14,8,different_expression_or_cover,False,True,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual|6d60091b52a8a93c|699e590cdc0187eb,user12,相近,相近,接近,我觉得基本一致,False,X7HyMhZNoso-13,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,manual,6d60091b52a8a93c,699e590cdc0187eb,W002,W030,8,8,True,0.9830880052252208,1.1861502398440569,0.0,2.080940733235504,2.080940733235504,2.080940733235504,0.9830880052252208,2.080940733235504,2.080940733235504,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,similar_with_tolerance,True,False,False,,True,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df|semi|7129ad7e523aa525|3b710fb59e47c8d6,user12,相近,相近,接近,,False,b8cTxDM8gDG-07,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,b8cTxDM8gDG,semi,7129ad7e523aa525,3b710fb59e47c8d6,W029,W031,12,12,True,1.1639247922418767,1.5475161421549724,0.0,4.131098175084203,4.131098175084203,4.131098175084203,1.1639247922418767,4.131098175084203,4.131098175084203,1,1,11,2,0,0,12,0,0,0,12,0,0,0,12,0,similar_with_tolerance,True,False,False,,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False
pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494|manual|7f0a5c531957fa7e0f4c|677314e72434fc9329f2,user12,不能判断,,,"oos,但是他们标注确实很接近",False,pRbA3pwrgk9-11,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,manual,7f0a5c531957fa7e0f4c,677314e72434fc9329f2,W031,W034,8,8,True,1.6136855208197798,2.2273213824862483,0.0,5.24912638536214,5.24912638536214,5.24912638536214,1.6136855208197798,5.24912638536214,5.24912638536214,1,1,7,2,0,0,8,0,0,0,8,0,0,0,8,0,similar_with_tolerance,True,False,False,,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual|b39330c925be7bca|b92cd1db2b605d45,user12,相近,相近,接近,没看出啥不同,False,wc2JMjhGNzB-15,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB,manual,b39330c925be7bca,b92cd1db2b605d45,W006,W036,8,8,True,0.9863333526275436,1.1468424236348398,0.0,1.96842783517866,1.96842783517866,1.96842783517866,0.9863333526275436,1.96842783517866,1.96842783517866,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,similar_with_tolerance,True,False,False,,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True
